//Quest List
//	ID	file		quest name
QUEST	966	Q0005_07.qst	//1-7교실의 과학시험
QUEST	967	Q0005_08.qst	//1-8교실의 과학시험
QUEST	968	Q0005_09.qst	//1-9교실의 과학시험
QUEST	969	Q0005_10.qst	//1-10교실의 과학시험
QUEST	991	Q0007_02.qst	//1-2교실의 란 온라인시험
QUEST	992	Q0007_03.qst	//1-3교실의 란 온라인시험
QUEST	993	Q0007_04.qst	//1-4교실의 란 온라인시험
QUEST	995	Q0008_02.qst	//1-2교실의 사회시험
QUEST	996	Q0008_03.qst	//1-3교실의 사회시험
QUEST	997	Q0008_04.qst	//1-4교실의 사회시험
QUEST	999	rantto.qst	//주화를 찾아라
QUEST	1001	Q0012.qst	//1-2 국어 반성문 퀘스트
QUEST	1002	Q0012_2.qst	//1-2 수학 반성문 퀘스트
QUEST	1003	Q0012_3.qst	//1-2 영어 반성문 퀘스트
QUEST	1004	Q0012_4.qst	//1-2 란 온라인 반성문 퀘스트
QUEST	1005	Q0012_5.qst	//1-2 사회 반성문 퀘스트
QUEST	1006	Q0012_6.qst	//1-2 과학 반성문 퀘스트
QUEST	1011	Q0013.qst	//1-3 국어 반성문 퀘스트
QUEST	1012	Q0013_2.qst	//1-3 수학 반성문 퀘스트
QUEST	1013	Q0013_3.qst	//1-3 영어 반성문 퀘스트
QUEST	1014	Q0013_4.qst	//1-3 란 온라인 반성문 퀘스트
QUEST	1015	Q0013_5.qst	//1-3 사회 반성문 퀘스트
QUEST	1016	Q0013_6.qst	//1-3 과학 반성문 퀘스트
QUEST	1021	Q0014.qst	//1-4 국어 반성문 퀘스트
QUEST	1022	Q0014_2.qst	//1-4 수학 반성문 퀘스트
QUEST	1023	Q0014_3.qst	//1-4 영어 반성문 퀘스트
QUEST	1024	Q0014_4.qst	//1-4 란 온라인 반성문 퀘스트
QUEST	1025	Q0014_5.qst	//1-4 사회 반성문 퀘스트
QUEST	1026	Q0014_6.qst	//1-4 과학 반성문 퀘스트
QUEST	1031	Q0015.qst	//1-5 국어 반성문 퀘스트
QUEST	1032	Q0015_2.qst	//1-5 수학 반성문 퀘스트
QUEST	1033	Q0015_3.qst	//1-5 영어 반성문 퀘스트
QUEST	1036	Q0015_6.qst	//1-5 과학 반성문 퀘스트
QUEST	1041	Q0016.qst	//1-6 국어 반성문 퀘스트
QUEST	1042	Q0016_2.qst	//1-6 수학 반성문 퀘스트
QUEST	1043	Q0016_3.qst	//1-6 영어 반성문 퀘스트
QUEST	1046	Q0016_6.qst	//1-6 과학 반성문 퀘스트
QUEST	1051	Q0017.qst	//1-7 국어 반성문 퀘스트
QUEST	1052	Q0017_2.qst	//1-7 수학 반성문 퀘스트
QUEST	1053	Q0017_3.qst	//1-7 영어 반성문 퀘스트
QUEST	1056	Q0017_6.qst	//1-7 과학 반성문 퀘스트
QUEST	1061	Q0018.qst	//1-8 국어 반성문 퀘스트
QUEST	1062	Q0018_2.qst	//1-8 수학 반성문 퀘스트
QUEST	1063	Q0018_3.qst	//1-8 영어 반성문 퀘스트
QUEST	1066	Q0018_6.qst	//1-8 과학 반성문 퀘스트
QUEST	1071	Q0019.qst	//1-9 국어 반성문 퀘스트
QUEST	1072	Q0019_2.qst	//1-9 수학 반성문 퀘스트
QUEST	1073	Q0019_3.qst	//1-9 영어 반성문 퀘스트
QUEST	1076	Q0019_6.qst	//1-9 과학 반성문 퀘스트
QUEST	1081	Q0020.qst	//1-10 국어 반성문 퀘스트
QUEST	1082	Q0020_2.qst	//1-10 수학 반성문 퀘스트
QUEST	1083	Q0020_3.qst	//1-10 영어 반성문 퀘스트
QUEST	1086	Q0020_6.qst	//1-10 과학 반성문 퀘스트
QUEST	1186	A0022_s.qst	//Residents' Request
QUEST	1187	A0022_h.qst	//Residents' Request
QUEST	1188	A0022_b.qst	//Residents' Request
QUEST	1189	A0023K_s.qst	//Find the Missing Report Cards
QUEST	1190	A0023K_h.qst	//Find the Missing Report Cards
QUEST	1191	A0023K_b.qst	//Find the Missing Report Cards
QUEST	1192	A0023F_s.qst	//Find the Missing Report Cards
QUEST	1193	A0023F_h.qst	//Find the Missing Report Cards
QUEST	1194	A0023F_b.qst	//Find the Missing Report Cards
QUEST	1195	A0023A_s.qst	//Find the Missing Report Cards
QUEST	1196	A0023A_h.qst	//Find the Missing Report Cards
QUEST	1197	A0023A_b.qst	//Find the Missing Report Cards
QUEST	1198	A0023M_s.qst	//Find the Missing Report Cards
QUEST	1199	A0023M_h.qst	//Find the Missing Report Cards
QUEST	1200	A0023M_b.qst	//Find the Missing Report Cards
QUEST	1201	A0024.qst	//To Achieve Mission Level 120
QUEST	1202	A0025.qst	//Search for the Criminal
QUEST	1203	A0026.qst	//Searching for the Evidence
QUEST	1204	A0027.qst	//Searching for the First Aid Kit
QUEST	1205	A0030.qst	//Through Tunnel No.3 
QUEST	1206	A0031.qst	//Reward for Prison Escapees
QUEST	1207	A0032.qst	//Look for the Missing Persons
QUEST	1208	A0033.qst	//Reward for Prison Escapees
QUEST	1209	A0034.qst	//Reward for Prison Escapees
QUEST	1210	A0035.qst	//Collect back Fake Certificate
QUEST	1211	A0036.qst	//Collect back Counterfeit Money
QUEST	1212	A0037.qst	//Reward for Prison Escapees
QUEST	1213	A0038_s.qst	//Deliver the News
QUEST	1214	A0038_h.qst	//Deliver the News
QUEST	1215	A0038_b.qst	//Deliver the News
QUEST	1216	00409.qst	//Deliver Important Message
QUEST	1219	A0039.qst	//Collect back Counterfeit Money
QUEST	1220	A0040_01.qst	//Advance Physics Teacher's Test
QUEST	1221	A0040_02.qst	//Advance Physics Teacher's Test
QUEST	1222	A0040_03.qst	//Advance Physics Teacher's Test
QUEST	1223	A0041.qst	//Reward for Prison Escapees
QUEST	1224	A0042.qst	//Reward for Prison Escapees
QUEST	1225	A0043.qst	//Reward for Prison Escapees
QUEST	1226	A0044.qst	//Collect Back Bullet Pellets
QUEST	1227	A0045.qst	//Obtain Weather Info
QUEST	2000	55555.qst	//Dragon Boat Event
QUEST	2004	Olympic.qst	//메달을 쏴라!!
QUEST	2024	QUEST_E_2008_DragonBoat.qst	//Catch the Chonggie
QUEST	2026	QUEST_VN_Reach5lv.qst	//Level 5 Achievement
QUEST	2027	QUEST_VN_Reach10lv.qst	//Level 10 Achievement
QUEST	2028	QUEST_VN_Reach15lv.qst	//Level 15 Achievement
QUEST	2029	QUEST_VN_Reach20lv.qst	//Level 20 Achievement
QUEST	2030	QUEST_VN_Reach25lv.qst	//Level 25 Achievement
QUEST	2040	QUEST_2040.qst	//Oblivion E Event
QUEST	2041	MyRosso1-1.qst	//Surprising Bonus(1-1)
QUEST	2042	MyRosso1-2.qst	//Surprising Bonus(1-2)
QUEST	2043	MyRosso1-3.qst	//Surprising Bonus(1-3)
QUEST	2044	MyRosso1-4.qst	//Surprising Bonus(1-4)
QUEST	2045	MyRosso1-5.qst	//Surprising Bonus(1-5)
QUEST	2046	MyRosso1-6.qst	//Surprising Bonus(1-6)
QUEST	2047	MyRosso1-7.qst	//Surprising Bonus(1-7)
QUEST	2048	MyRosso2-1.qst	//Surprising Bonus(2-1)
QUEST	2049	MyRosso2-2.qst	//Surprising Bonus(2-2)
QUEST	2050	MyRosso2-3.qst	//Surprising Bonus(2-3)
QUEST	2051	MyRosso2-4.qst	//Surprising Bonus(2-4)
QUEST	2052	MyRosso2-5.qst	//Surprising Bonus(2-5)
QUEST	2053	MyRosso2-6.qst	//Surprising Bonus(2-6)
QUEST	2054	MyRosso2-7.qst	//Surprising Bonus(2-7)
QUEST	2055	MyRosso2-8.qst	//Surprising Bonus(2-8)
QUEST	2056	MyRosso3-1.qst	//Surprising Bonus(3-1)
QUEST	2057	MyRosso4-1.qst	//Surprising Bonus(4-1)
QUEST	2058	MyRosso4-2.qst	//Surprising Bonus(4-2)
QUEST	2059	MyRosso4-3.qst	//Surprising Bonus(4-3)
QUEST	2060	MyRosso4-4.qst	//Surprising Bonus(4-4)
